облако вокруг ядра кометы, наблюдавшееся в 1811 году, имело диаметр два миллиона километров?;1
на Венере день короче года?;1
межпланетная среда — это пустота?;1
Луна — светило темное, собственного света не имеет?;1
в теле кометы ученые обнаружили железо, кобальт, натрий, кальций?;1
хвост кометы 1811 года превышал расстояние от Земли до Солнца?;1
Ли Рэдмонд (жительница США), имеющая ногти общей длиною 7 метров 51 сантиметр, одевается самостоятельно?;1
рост самого высокого современного мужчины составляет три метра?;0
самая высокая современная женщина выше самого высокого современного мужчины?;0
врач Черинг-Кросс (Великобритания) в 1952 году удалил из желчного пузыря восьмидесятилетней пациентки камень весом в шесть килограммов двести девяносто граммов?;1
Мишель Лотито (Франция) с 1959 года питается стеклом и железом, и может переварить ежедневно девятьсот граммов металла?;1
сердце рыбака Яна Эгиля Рефсдаля (Норвегия), выпавшего за борт в море, остановилось на четыре часа, после чего он выжил?;1
Рой Салливан (США) выжил после того, как в него с разными интервалами попадали двадцать молний?;1
старейшая, жившая на Земле женщина, прожила дольше старейшего, жившего на Земле мужчины?;1
в 1997 году Джастин Миллер (США), в возрасте семи лет, опубликовал поваренную книгу «Готовим вместе с Джастином»?;1
Джеки Барби (США) удерживал во рту двадцать гремучих змей в течение двенадцати с половиной секунд?;0
донор Морис Кресвик (Южно-Африканская Республика) с восемнадцатилетнего возраста в течение пятидесяти девяти лет сдал 188,9 литров крови?;1
Мэри Мохан в девяносто один год спустилась на веревке с тридцати восьми метровой скалы?;1
 Эдуардо Армалло Лагаса (Испания), лежа, удержал на себе бетонные блоки весом в пять тонн?;0
Пракаш Синхг (Индия) простоял без движения, позволяя себе только моргать, трое суток?;0
двухлетняя Мишель Франк (США) выжила после шестидесяти шести минут пребывания под водой в ручье?;1
3-4 апреля 1974 года, всего за сутки, по югу и среднему западу США пронеслись сто сорок восемь торнадо?;1
Мария Магдалина была включена Церковью в число равноапостольных святых?;1
суммарное население Индии и Китая превышает треть населения нашей планеты?;1
Сието Изуми (Япония) проработал девяносто восемь лет?;1
самый посещаемый парк развлечений — это Диснейленд в Париже?;0
самый большой Императорский Дворец находится в Японии?;0
самая большая пирамида — пирамида Хеопса в Египте?;1
самые высоко расположенные над землей часы находятся на башне Вестминского аббатства в Лондоне?;1
самыми высокими сооружениями в современном мире являлись, разрушенные 11 сентября 2001 года, башни-близнецы торгового комплекса на Манхэттене в Нью-Йорке?;1
больше всего пользователей интернета находится в Японии?;0
на Луне побывали двенадцать человек?;1
самое большое количество полетов в космос (семь) совершили двое русских космонавтов?;0
дольше всех из женщин пробыла в космосе Светлана Савицкая?;0
американский астронавт Джон Гленн-младший отправился в космос в возрасте семидесяти семи лет?;1
самый быстрый робот-гуманоид создан в США?;1
первый компьютерный вирус продемонстрировал Билл Гейтс?;0
самые большие доспехи для животных изготавливались для рыцарских коней?;0
Кэти Джанг (США), при росте сто семьдесят два сантиметра, обладает талией объемом тридцать восемь сантиметров и один миллиметр?;1
рост британского каскадера Киран Шах составляет один метр двадцать шесть сантиметров и четыре миллиметра?;1
Грег МКокс (США) может писать и читать на шестидесяти четырех языках?;1
самолет взлетит быстрее, если будет разгоняться по ветру?;0
куры глотают камешки, потому что так они получают минеральные вещества?;0
ультрафиолетовые лучи хорошо проходят через оконное стекло?;0
втыкая швейную иглу, можно развить давление в одну тысячу атмосфер?;1
всякое колеблющееся тело звучит?;0
у хищных птиц самки крупнее и сильнее самцов?;1
дятлы умирают от сотрясения мозга?;1
есть птицы, которые собирают себе на зиму запасы?;1
у головастика передние лапы вырастают раньше, чем задние?;0
из крана самовара падают более тяжелые капли, когда вода горячая?;1
скорость и ускорение вертикально брошенного мяча в верхней его точке подъема равны нулю?;0
беременность у слонихи длится почти год?;0
в южных странах тараканы достигают размера в мышь?;1
на Земле живут бабочки с размахом крыльев пятьдесят сантиметров?;1
на Земле есть черви, достигающие в длину тридцать метров?;1
в соревнованиях по конной выездке мужчины и женщины соревнуются на равных?;1
высота Эйфелевой башни больше трехсот пятидесяти метров?;0
египетский Сфинкс — одно из Чудес Света?;0
родина птицы-секретарь — Австралия?;0
Плеяды и Стожары — это один и тот же астрономический объект?;1
встречаются ядовитые удавы?;1
у дохи мех снаружи и внутри?;1
самая высокая зарегистрированная волна — цунами — была более пятисот метров в высоту?;1
у некоторых птиц есть зубы?;0
«грудная жаба» — то же самое заболевание, что и астма?;0
испанский художник Эль-Греко действительно был греком?;1
яйца, которые несут игуаны, съедобны?;1
некоторые виды бамбука могут вырастать на девяносто сантиметров в день?;1
древние римляне вместо зубной пасты использовали порошок из мышиных мозгов?;1
в лондонской тюрьме Тауэре узникам приходилось платить за еду, проживание и оковы?;1
в 1970 году на штат Канзас упала градина размером с арбуз?;1
в городе Ватерлоо (штат Небраска) парикмахерам запрещается есть лук во время работы?;1
картофельные чипсы изобрел американский президент Джордж Вашингтон?;0
термитник состоит из земли, слюны и навоза?;1
эвкалипт — самое высокое и быстрорастущее дерево в мире?;1
кенгуру в момент опасности развивают скорость шестьдесят пять километров в час?;1
коалы не едят ничего, кроме листьев эвкалипта.Их название на языке коренных жителей Австралии означает «без воды»?;1
в Австралии овец в три раза больше, чем жителей?;1
последний император Китая Пу И в конце жизни работал садовником и умер в одиночестве в 1967 году?;1
шелк в Китае ценили так дорого, что использовали его вместо денег?;1
каждый кокон шелкопряда состоит из шелковой нити длиной один километр?;1
китайцы верят, что драконы приносят дождь.Они даже помещают драконьи статуи на крышах своих домов, чтобы защититься от пожара?;1
Великая Китайская стена видна из космоса?;1
глиняная армия императора Цинь насчитывает семь тысяч воинов, шестьсот лошадей, сто двадцать пять колесниц.У всех них разные черты лица, никто не улыбается.У каждого воина настоящее оружие?;1
в городах Мадрас и Бомбей (Индия) снимается больше фильмов, чем в Голливуде?;1
после обеда, чтобы освежить дыхание, индусы жуют пряности?;1
самки слонов держаться стадами вместе со слонятами, слоны-самцы держаться особняком?;1
африканские слоны меньше своих азиатских собратьев?;0
слоны могут набрать в хобот около семи литров воды?;1
у слонят сначала вырастают молочные бивни, а в год вместо них вырастают настоящие?;1
несмотря на то, что кожа у слона толщиной два сантиметра, они чувствуют укус даже самого маленького насекомого?;1
Хануман — индийский бог обезьян?;1
черный носорог занесен в Красную книгу, как самое редкое животное на Земле?;1
самка морского конька откладывает яйца в кармашек на животе самца, который потом воспитывает малышей, пока они не вырастут?;1
осьминоги, кальмары и каракатицы относятся к моллюскам?;1
осьминог при укусе парализует свою жертву ядовитой слюной, которая почти безвредна для человека?;1
детеныши гепарда до десяти недель от рождения имеют пушистую белую гриву, а затем ее теряют?;1
шестидесятикилограммовый леопард может затащить на дерево девяностокилограммового молодого жирафа?;1
с помощью симпатичных, покрытых шерстью рожек жирафы-самцы сражаются со своими соперниками?;1
 жираф может вытягивать язык до сорока пяти сантиметров, чтобы сорвать молодые сочные листочки с дерева?;1
шея жирафа может достигать двух метров в длину?;1
длина спиралевидных рогов у самцов антилоп-куду может достигать одного метра?;1
взрослый питон может заглотить некрупного оленя?;1
черная мамба — самая быстрая в мире змея, обитающая на суше?;1
во Флориде (США) парков отдыха и развлечений больше, чем в любой другой части земного шара?;1
на ферме Гаторама, где разводят аллигаторов, есть небольшой магазин сувениров, где за девяносто девять центов вам продадут упаковки с пометом этих животных?;1
во Флориде (США) каждый год проводятся международные соревнования по выманиванию червяков из земли?;1
парк развечений Диснейленд во Флориде занимает площадь десять квадратных километров?;0
в самом центре Волшебного королевства парка Диснейленд стоит замок дядюшки Скруджа?;0
тайфун Эндрю, который пронесся над Флоридой в августе 1992 года, достигал по скорости пятисот километров в час?;1
энергия внутри смерча такова, что могла бы зажечь все электрические лампочки Америки?;1
ламантины выкармливают своих детенышей под водой, бережно держа их на своих ластах, как матери держат своих детей?;1
у морских черепах совершенно нет зубов, и поэтому им приходится разрывать пищу челюстями?;1
 ламантинов называют «морскими коровами».Однако, их самые близкие родственники на сегодня — слоны?;1
в огромном мешке под клювом пеликана помещается больше пищи, чем в его желудке?;1
еще не вылупившиеся детеныши аллигаторов «разговаривают» друг с другом, постукивая по скорлупке внутри яйца?;1
еноты относятся к семейству пандовых?;1
у пантеры много других названий: леопард, барс, пума и кугуар?;1
возраст медведя можно определить по годичным кольцам на его зубах?;1
бурый медведь может бежать со скоростью сорок километров в час?;1
воздух в Арктике настолько холодный и сухой, что можно услышать, как кто-то разговаривает даже за пять километров?;1
в Арктике нет блох, но летом там комаров больше, чем где бы то ни было?;1
если бы льды Гренландии в один прекрасный день растаяли, то уровень Атлантики поднялся бы на семь метров?;1
слово «тундра» на русском языке означает «безжизненная»?;0
ворвань — это толстый слой жира под кожей китов, тюленей, моржей и белых медведей, который защищает их от холода?;1
жителей Арктики называют эскимосами, что на их собственном языке означает «человек, который ест сырое мясо»?;1
сегодня эскимосов называют еще «инуеты», что значит «житель севера»?;0
в 1972 году в Гренландии обнаружены две могилы, где похоронены восемь мумий эскимосов?;1
каша, которую эскимосы обычно варят на завтрак, называется «снежные хлопья»?;0
на протяжении столетий эскимосы путешествовали на санях, в которые запрягали овчарок?;0
охотничья лодка эскимоса называется каяк?;1
6 апреля 1909 года экспедиция американца Роберта Пири первой достигла Северного полюса?;1
белые медведи ныряют с айсбергов с высоты, иногда достигающей пятнадцати метров?;1
айсберги иногда взрываются?;1
величина самого большого известного ученым айсберга достигает тридцать одну тысячу квадратных километров, то есть столько же, сколько занимает по площади Бельгия?;1
белые медведи — самые большие медведи в мире?;1
проявляя осторожность, тюлень может дожить до сорока трех лет?;1
белый медведь может учуять тюленя по запаху за шестьдесят четыре километра?;1
 бивни моржа могут достигать в длину до трех метров?;0
зайцы, обитающие в тундре, — самые маленькие в мире?;0
полярный заяц может развить скорость семьдесят километров в час?;1
в девятнадцатом веке бинты, в которые заворачивали мумии, исползовались для приготовления пергамента?;1
недавно была найдена мумия, завернутая в пять километров бинтов?;1
самые высокие и знаменитые пирамиды находятся в Египте в Долине царей под Луксором?;0
сфинкс, стерегущий пирамиды Гизы, достигает высоты пятьдесят метров?;0
пустыня Сахара ежегодно увеличивается на шесть тысяч семьдесят квадратных километрор?;1
древние египтяне дрессировали обезьян, обучая их собирать финики с пальм?;1
самая большая пирамида в Египте — это гробница фараона Тутанхамона?;1
слово «мумия» произошло от арабского термина, обозначавшего «битум», особый вид смолы?;1
в 1922 году два английских археолога Говард Картер и лорд Карнарвон начали раскопки на еще не исследованной территории в Долине царей (Луксор) и нашли почти неразграбленную гробницу Тутанхамона?;1
Сахара — это не только самая большая пустыня мира, но и самое жаркое место на земле?;1
когда дует ветер, песок в Сахаре может перемещаться, образуя дюны высотой до полутора километров?;1
у египетских верблюдов дромадеров два горба?;0
верблюды запасают воду в своих горбах?;0
верблюды могут прожить без питья около восьми недель, но когда они добираются до оазиса, выпивают за раз более ста литров воды?;1
египтяне воевали, сидя на спинах верблюдов, от верблюдов исходил такой ужасный запах, что вражеские лошади часто спасались бегством?;1
нильские крокодилы нападают на людей и на небольшие лодки?;1
челюсть двухметрового крокодила можно удерживать закрытой с помощью простой резинки?;1
змеи — глухие существа?;1
в обычном состоянии зубы кобры «уложены» вдоль верхней челюсти, но, когда она атакует свою жертву, ее зубы выскакивают наружу и наполняются ядом?;1
ночью в Сахаре очень жарко?;0
жуки — самые многочисленные среди насекомых?;1
укол жала скорпиона смертелен для человека?;0
глаза слепня состоят из тысяч мельчайших отдельных глазков?;1
насекомые спят с открытыми глазами?;1
насекомые обладают самыми разнообразными голосами?;1
громкие песни «распевают» только взрослые самцы сверчков, кузнечиков и цикад, молодь и самки безмолвствуют?;1
у некоторых видов пчел «царица» может вырастать до пяти сантиметров?;1
у совы одно ухо больше другого?;1
утонуть можно не только в воде, но и на суше?;1
полмиллиона лет назад Европа была похожа на Антарктиду?;1
плавник самца кита-касатки может достигать трех метров?;0
Иван Грозный сочинял стихи и тексты песнопений, музыку к ним и сам пел в хоре во время церковных служб?;1
носорог своим рогом может перевернуть автомашину?;1
родина дерева баобаба — Австралия?;1
на планете Меркурий холоднее, чем на планете Плутон?;1
вблизи месторождений платины плотность растений на почве значительно выше, чем обычно?;0
у сороконожки сорок ног?;0
родина тюльпана — Голландия?;0
нынешний Патриарх всея Руси — Алексий II — тринадцатый по счету в истории русского православия?;0
мед дают только пчелы?;1
глаза лягушки могут служить перископом?;1
кошке, чтобы видеть, требуется гораздо меньше света, чем другим животным?;1
парус у рыбы-парусника — это приспособление для торможения?;1
пушкинская «Песнь о Вещем Олеге» не имеет под собой реальных фактов и полностью придумана поэтом?;0
малая планета Гектор по форме напоминает гантель?;1
абсолютно чистая вода не проводит электрический ток?;1
было время, когда в оперу ходили со своим стулом?;1
куры наделены цветным зрением?;1
курильщики средней европейской страны вместе с дымом сигарет поглощают за год сто тонн гудрона?;1
каждый курильщик за год сжигает книгу объемом в триста страниц?;1
на каждого человека приходится триста миллионов самых разнообразных насекомых?;1
 быков раздражает красный цвет?;0
белые медведи спят зимой?;0
в авторучках есть перья, сделанные из золота?;0
в воде с кубиками льда цветы дольше остаются свежими?;1
самые старые деревья нашей планеты, возраст которых составляет свыше двухсот миллионов лет, вытянулись в рост в центре города Карл-Маркс-Штадта (Германия)?;1
бриллианты можно сжечь?;1
Святейшие Врата — это папская резиденция в Ватикане?;1
Штаб-квартира Организации Объединенных Наций (ООН) находится в Женеве (Швейцария)?;0
египетские пирамиды были построены военнопленными?;0
грушевое дерево может приносить яблоки?;1
клаустрофобия — это страх перед экзаменами?;0
юрта — это дом индейца?;0
самая яркая звезда в созвездии Большой Медведицы — Полярная звезда?;1
французский инженер Александр Густав Эйфель спроектировал американскую статую Свободы?;1
австрийских полицейских называют жандармами?;1
каратэ — это старояпонская борьба?;0
слово «алиби» — греческое и означает «это был не я»?;0
